data_source,family_id,individual_id,latitude1,longitude1,city1,country1,latitude2,longitude2,city2,country2
Kopelman2020_240_otherJ,0,pop_11916_203,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_207,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_208,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_222,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_225,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1141,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1165,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1175,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1384,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1402,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1417,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1418,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1434,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1441,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1444,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1484,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1554,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1652,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1757,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1759,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_1874,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11921_1124,56.95,24.1,Riga,Latvia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11921_1285,56.95,24.1,Riga,Latvia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11921_4755,56.95,24.1,Riga,Latvia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11921_6256,56.95,24.1,Riga,Latvia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11921_6373,56.95,24.1,Riga,Latvia,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_4777,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_4778,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5496,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5677,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5766,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5844,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5857,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5979,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_5996,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6044,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6084,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6111,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6130,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6150,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6175,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11923_6617,54.6834,25.3166,Vilnius,Lithuania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11924_6487,52.35,4.9166,Amsterdam,Netherlands,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_177,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_224,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1102,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1113,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1115,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1119,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1121,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1122,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1123,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1129,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1131,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1133,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1134,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1139,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1146,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1160,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1162,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1236,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1267,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11925_1399,52.25,21,Warsaw,Poland,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11926_1112,44.4334,26.0999,Bucharest,Romania,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11926_1116,44.4334,26.0999,Bucharest,Romania,NA,NA,NA,NA
